ENV_PARAMS,round_id=01KG1YZ8D6FP6ZTJXCZE07XXYV,max_team_hp=10,max_enemy_hp=15,enemy_attack_prob=0.80,enemy_damage=9,outcome=LOSE
turn_number,stage_number,player0_role,player1_role,player2_role,player0_action,player1_action,player2_action,prev_team_health,new_team_health,prev_enemy_health,new_enemy_health,enemy_intent,team_damage_taken,enemy_damage_taken
1,1,FIGHTER,FIGHTER,MEDIC,ATTACK,ATTACK,ATTACK,10,1,15,9,WILL_ATTACK,9,6
2,1,FIGHTER,FIGHTER,MEDIC,ATTACK,ATTACK,HEAL,1,0,9,4,WILL_ATTACK,1,5
