id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,endMessage,endMessageLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,stageDurationMs,stageDurationMsLastChangedAt,stageEndedAt,stageEndedAtLastChangedAt,stageNumber,stageNumberLastChangedAt,stageStartedAt,stageStartedAtLastChangedAt,stageType,stageTypeLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01KK16057XYBH54PWYVB31S9XC,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:00:02.685412495Z,390,2026-03-06T09:00:02.685412495Z,,,true,2026-03-06T09:01:18.291659577Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:00:02.685412495Z,0,2026-03-06T09:00:02.685412495Z,true,2026-03-06T09:00:03.201838831Z,Stage 1,2026-03-06T09:00:02.685412495Z,01KK16053FR0X122XFMFNA1F6V,2026-03-06T09:00:02.685412495Z,75081,2026-03-06T09:01:18.30104099Z,1772787678296,2026-03-06T09:01:18.30104099Z,1,2026-03-06T09:00:02.685412495Z,1772787603215,2026-03-06T09:00:03.234803359Z,,,true,2026-03-06T09:00:03.092324304Z,true,2026-03-06T09:00:03.260884459Z,01KK16057ESHDGNSW6YW57A78F,2026-03-06T09:00:02.685412495Z
01KK16CBHWQMQ6G7TWXHE7JHVC,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:06:42.364383834Z,390,2026-03-06T09:06:42.364383834Z,,,true,2026-03-06T09:06:49.943032832Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:06:42.364383834Z,0,2026-03-06T09:06:42.364383834Z,true,2026-03-06T09:06:42.647802095Z,Stage 1,2026-03-06T09:06:42.364383834Z,01KK16CBGWWQ9FZSTD7BYJG7CG,2026-03-06T09:06:42.364383834Z,7292,2026-03-06T09:06:49.967119002Z,1772788009948,2026-03-06T09:06:49.967119002Z,1,2026-03-06T09:06:42.364383834Z,1772788002656,2026-03-06T09:06:42.662661757Z,,,true,2026-03-06T09:06:42.578501712Z,true,2026-03-06T09:06:42.687896723Z,01KK16CBHQ1NB344RXYKM7ACC8,2026-03-06T09:06:42.364383834Z
01KK16GC9ED3RVJ7NEF9X8AB67,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:08:54.190337802Z,390,2026-03-06T09:08:54.190337802Z,,,true,2026-03-06T09:09:21.487867476Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:08:54.190337802Z,2,2026-03-06T09:08:54.190337802Z,true,2026-03-06T09:08:54.255726165Z,Stage 3,2026-03-06T09:08:54.190337802Z,01KK16DV06Q1FP9X4NX7Y9QX7G,2026-03-06T09:08:54.190337802Z,27156,2026-03-06T09:09:21.506199727Z,1772788161497,2026-03-06T09:09:21.506199727Z,3,2026-03-06T09:08:54.190337802Z,1772788134341,2026-03-06T09:08:54.347137536Z,,,true,2026-03-06T09:08:54.2037345Z,true,2026-03-06T09:08:54.291280945Z,01KK16GC9983Q7RGS8HZGHKTS4,2026-03-06T09:08:54.190337802Z
01KK16P8AKHYW413P6XADXYMWM,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:12:06.739588241Z,390,2026-03-06T09:12:06.739588241Z,,,true,2026-03-06T09:12:26.082897364Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:12:06.739588241Z,1,2026-03-06T09:12:06.739588241Z,true,2026-03-06T09:12:06.810145774Z,Stage 2,2026-03-06T09:12:06.739588241Z,01KK16NSECF3CGGVPZDXENECVQ,2026-03-06T09:12:06.739588241Z,19201,2026-03-06T09:12:26.100241502Z,1772788346089,2026-03-06T09:12:26.100241502Z,2,2026-03-06T09:12:06.739588241Z,1772788326888,2026-03-06T09:12:06.894779044Z,,,true,2026-03-06T09:12:06.761071724Z,true,2026-03-06T09:12:06.847606012Z,01KK16P8AC3RJQZA3ACP05H7W5,2026-03-06T09:12:06.739588241Z
01KK16T1GA7CJDBDM2RPDPMP6C,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:14:10.826239047Z,600,2026-03-06T09:14:10.826239047Z,Victory! You defeated the enemy!,2026-03-06T09:14:10.826239047Z,true,2026-03-06T09:15:01.40018522Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:14:10.826239047Z,3,2026-03-06T09:14:10.826239047Z,true,2026-03-06T09:14:10.904716823Z,Round Over,2026-03-06T09:14:10.826239047Z,01KK16R62P4R88EBKAHN7TDWM1,2026-03-06T09:14:10.826239047Z,50442,2026-03-06T09:15:01.418872689Z,1772788501406,2026-03-06T09:15:01.418872689Z,end,2026-03-06T09:14:10.826239047Z,1772788450964,2026-03-06T09:14:10.967286198Z,roundEnd,2026-03-06T09:14:10.826239047Z,true,2026-03-06T09:14:10.8443451Z,true,2026-03-06T09:14:10.923950101Z,01KK16T1G3EPSJ6E95JDT1MYK8,2026-03-06T09:14:10.826239047Z
01KK16XQ893KN7ARMBW9JG4GX2,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:16:11.401951252Z,600,2026-03-06T09:16:11.401951252Z,Victory! You defeated the enemy!,2026-03-06T09:16:11.401951252Z,true,2026-03-06T09:18:00.210637457Z,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:16:11.401951252Z,4,2026-03-06T09:16:11.401951252Z,true,2026-03-06T09:16:11.475041502Z,Round Over,2026-03-06T09:16:11.401951252Z,01KK16S0DEE1KZJ24YR40AY0G8,2026-03-06T09:16:11.401951252Z,108680,2026-03-06T09:18:00.229266764Z,1772788680218,2026-03-06T09:18:00.229266764Z,end,2026-03-06T09:16:11.401951252Z,1772788571538,2026-03-06T09:16:11.540772333Z,roundEnd,2026-03-06T09:16:11.401951252Z,true,2026-03-06T09:16:11.412690177Z,true,2026-03-06T09:16:11.494674277Z,01KK16XQ85KEEPWEVXVQ8VNPSM,2026-03-06T09:16:11.401951252Z
01KK16DYF4BY5EG12HGJH1VAAA,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:07:34.500345894Z,390,2026-03-06T09:07:34.500345894Z,,,true,2026-03-06T09:07:48.465593583Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:07:34.500345894Z,3,2026-03-06T09:07:34.500345894Z,true,2026-03-06T09:07:34.561193756Z,Stage 4,2026-03-06T09:07:34.500345894Z,01KK16CBGWWQ9FZSTD7BYJG7CG,2026-03-06T09:07:34.500345894Z,13828,2026-03-06T09:07:48.475854513Z,1772788068470,2026-03-06T09:07:48.475854513Z,4,2026-03-06T09:07:34.500345894Z,1772788054642,2026-03-06T09:07:34.646584142Z,,,true,2026-03-06T09:07:34.523258102Z,true,2026-03-06T09:07:34.590291342Z,01KK16DYEYXC1BF1A7KDSKPQ9H,2026-03-06T09:07:34.500345894Z
01KK17B3217C1RSFNCCP7ZSR6P,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:23:29.473620482Z,390,2026-03-06T09:23:29.473620482Z,,,true,2026-03-06T09:23:38.955436721Z,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:23:29.473620482Z,0,2026-03-06T09:23:29.473620482Z,true,2026-03-06T09:23:29.777700439Z,Stage 1,2026-03-06T09:23:29.473620482Z,01KK17B313DF06CWW2BWNN8JQH,2026-03-06T09:23:29.473620482Z,9171,2026-03-06T09:23:38.967909734Z,1772789018962,2026-03-06T09:23:38.967909734Z,1,2026-03-06T09:23:29.473620482Z,1772789009791,2026-03-06T09:23:29.794621466Z,,,true,2026-03-06T09:23:29.72349981Z,true,2026-03-06T09:23:29.812860555Z,01KK17B31SNA2P07MZ0A3FZGR0,2026-03-06T09:23:29.473620482Z
01KK187TZ5YXW1CYNN6H9CXSJ0,01KK14SSXNQ645HH7AJXYEQV6N,2026-03-06T09:39:11.461483541Z,390,2026-03-06T09:39:11.461483541Z,,,true,2026-03-06T09:39:22.396105493Z,01KK14SSY8E64SK69715NN1TMW,2026-03-06T09:39:11.461483541Z,2,2026-03-06T09:39:11.461483541Z,true,2026-03-06T09:39:11.528390774Z,Stage 3,2026-03-06T09:39:11.461483541Z,01KK1877X9ZPD0N84EWZAHB1YZ,2026-03-06T09:39:11.461483541Z,10801,2026-03-06T09:39:22.413969151Z,1772789962406,2026-03-06T09:39:22.413969151Z,3,2026-03-06T09:39:11.461483541Z,1772789951605,2026-03-06T09:39:11.609248498Z,,,true,2026-03-06T09:39:11.480740796Z,true,2026-03-06T09:39:11.559806483Z,01KK187TZ0B7B43ZEHTSX2Z6A5,2026-03-06T09:39:11.461483541Z
01KK168E96RV87BR1YDW0CD241,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:04:34.086956757Z,390,2026-03-06T09:04:34.086956757Z,,,true,2026-03-06T09:04:52.231740147Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:04:34.086956757Z,1,2026-03-06T09:04:34.086956757Z,true,2026-03-06T09:04:34.154289628Z,Stage 2,2026-03-06T09:04:34.086956757Z,01KK168211M3NJRPZVMH1E74TY,2026-03-06T09:04:34.086956757Z,17999,2026-03-06T09:04:52.245676746Z,1772787892238,2026-03-06T09:04:52.245676746Z,2,2026-03-06T09:04:34.086956757Z,1772787874239,2026-03-06T09:04:34.243042971Z,,,true,2026-03-06T09:04:34.110121542Z,true,2026-03-06T09:04:34.193841739Z,01KK168E8WH0Q8SSHFZTGSTN5R,2026-03-06T09:04:34.086956757Z
