id,autoSubmitted,autoSubmittedLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,inferredRoles,inferredRolesLastChangedAt,playerID,playerIDLastChangedAt,roleSubmittedAt,roleSubmittedAtLastChangedAt,roundID,roundIDLastChangedAt,selectedRole,selectedRoleLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01KK173EK357G6BF6ARSWJ6Q3C,true,2026-03-06T09:19:49.924015334Z,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:19:19.139219299Z,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:19:19.139219299Z,,,01KK156FDQVJQ278PX88B67FJS,2026-03-06T09:19:19.139219299Z,1772788789918,2026-03-06T09:19:49.924015334Z,01KK1711HK0WFD3V2B4P2DYY8K,2026-03-06T09:19:19.139219299Z,0,2026-03-06T09:19:49.924015334Z,01KK173EH1MK03XTVZCQJY44V4,2026-03-06T09:19:19.139219299Z,true,2026-03-06T09:19:49.924015334Z
01KK15ZANMJG66KTVP4J6ESP5S,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T08:59:35.476447804Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T08:59:35.476447804Z,{},2026-03-06T08:59:42.200174399Z,01KK151EAZ3RYJENNDVWS0NTPD,2026-03-06T08:59:35.476447804Z,1772787582016,2026-03-06T08:59:42.201542681Z,01KK15ZACCMVS9G9GWWF4PMQW6,2026-03-06T08:59:35.476447804Z,1,2026-03-06T08:59:42.196411164Z,01KK15ZAD95BPE86CV13PKVYWP,2026-03-06T08:59:35.476447804Z,true,2026-03-06T08:59:42.199509458Z
01KK16XQA68DR86J7QQM822KDE,,,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:16:11.462618909Z,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:16:11.462618909Z,,,01KK154JWJFWXC0WVJEYB8KK83,2026-03-06T09:16:11.462618909Z,,,01KK16S0DEE1KZJ24YR40AY0G8,2026-03-06T09:16:11.462618909Z,,,01KK16XQ893KN7ARMBW9JG4GX2,2026-03-06T09:16:11.462618909Z,true,2026-03-06T09:18:00.193798668Z
01KK174CQYHWBBKY6TS93NPSN5,,,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:19:50.01447024Z,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:19:50.01447024Z,,,01KK154JWJFWXC0WVJEYB8KK83,2026-03-06T09:19:50.01447024Z,,,01KK1711HK0WFD3V2B4P2DYY8K,2026-03-06T09:19:50.01447024Z,,,01KK174CP1A9AM6GHYZTTXGKEY,2026-03-06T09:19:50.01447024Z,true,2026-03-06T09:19:57.494665385Z
01KK1885RRJABHQ0C3B16B7D5M,,,01KK14SSXNQ645HH7AJXYEQV6N,2026-03-06T09:39:22.521023556Z,01KK14SSY8E64SK69715NN1TMW,2026-03-06T09:39:22.521023556Z,,,01KK1597T2BEG3G8VK34AEJWBX,2026-03-06T09:39:22.521023556Z,,,01KK1877X9ZPD0N84EWZAHB1YZ,2026-03-06T09:39:22.521023556Z,,,01KK1885PPJZSMKKQX21FKB74Q,2026-03-06T09:39:22.521023556Z,true,2026-03-06T09:39:26.745506307Z
01KK188A944HG7M1SWND1DSEXS,true,2026-03-06T09:39:27.165166953Z,01KK14SSXNQ645HH7AJXYEQV6N,2026-03-06T09:39:27.140626043Z,01KK14SSY8E64SK69715NN1TMW,2026-03-06T09:39:27.140626043Z,,,01KK15V3W97WBJW05NQ6ZQT7MZ,2026-03-06T09:39:27.140626043Z,1772789967162,2026-03-06T09:39:27.165166953Z,01KK1889XRBYCZT4KAXAE7T2HH,2026-03-06T09:39:27.140626043Z,0,2026-03-06T09:39:27.165166953Z,01KK1889Y9DB5XR7Q5BMZ5Y8RP,2026-03-06T09:39:27.140626043Z,true,2026-03-06T09:39:27.165166953Z
01KK15XHMKD2YZF9MKMSPJMJ5E,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T08:58:37.075432809Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T08:58:37.075432809Z,"{""1"":0,""2"":0}",2026-03-06T08:59:19.247251519Z,01KK14VZHF7ANFGF38NNJCNQ5J,2026-03-06T08:58:37.075432809Z,1772787558343,2026-03-06T08:59:19.244476955Z,01KK15RZ4SCDPZ7R03MA43R9HZ,2026-03-06T08:58:37.075432809Z,0,2026-03-06T08:59:19.243447282Z,01KK15XHK72GH77MXYB1AFJME8,2026-03-06T08:58:37.075432809Z,true,2026-03-06T08:59:19.245980854Z
01KK167TWW087AWW6VBAZA409Q,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:04:14.236669385Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:04:14.236669385Z,,,01KK14VZHF7ANFGF38NNJCNQ5J,2026-03-06T09:04:14.236669385Z,,,01KK1640VW63B5R36VJSNE32VW,2026-03-06T09:04:14.236669385Z,,,01KK167TV3M4FWR7SX351X13CK,2026-03-06T09:04:14.236669385Z,true,2026-03-06T09:04:18.546601415Z
01KK16CK27EH7QQ59BVC7JSP2Q,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:06:50.055450517Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:06:50.055450517Z,"{""0"":0,""1"":1}",2026-03-06T09:07:06.936646524Z,01KK152B7R4ZD53WXFFZ6BYJE1,2026-03-06T09:06:50.055450517Z,1772788026683,2026-03-06T09:07:06.94016132Z,01KK16CBGWWQ9FZSTD7BYJG7CG,2026-03-06T09:06:50.055450517Z,2,2026-03-06T09:07:06.933944436Z,01KK16CK0H5W4WCP51PDKHAYAR,2026-03-06T09:06:50.055450517Z,true,2026-03-06T09:07:06.938508628Z
01KK16FJC39K5E8Q10R54YJKXT,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:08:27.651650712Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:08:27.651650712Z,{},2026-03-06T09:08:34.266286189Z,01KK151EAZ3RYJENNDVWS0NTPD,2026-03-06T09:08:27.651650712Z,1772788113904,2026-03-06T09:08:34.262988754Z,01KK16FJ2J2CMXZNNK2B4Z6QHC,2026-03-06T09:08:27.651650712Z,1,2026-03-06T09:08:34.260817781Z,01KK16FJ3JANRR5E3RE62NV73B,2026-03-06T09:08:27.651650712Z,true,2026-03-06T09:08:34.264737711Z
