id,autoSubmitted,autoSubmittedLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,inferredRoles,inferredRolesLastChangedAt,playerID,playerIDLastChangedAt,roleSubmittedAt,roleSubmittedAtLastChangedAt,roundID,roundIDLastChangedAt,selectedRole,selectedRoleLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01KK16CHXGRZVG2Z9PJT09EJ0C,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:06:48.880345627Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:06:48.880345627Z,"{""1"":0,""2"":1}",2026-03-06T09:07:01.652136515Z,01KK14YQA50QAFCAK6W01QR3B7,2026-03-06T09:06:48.880345627Z,1772788021084,2026-03-06T09:07:01.648275622Z,01KK16053FR0X122XFMFNA1F6V,2026-03-06T09:06:48.880345627Z,2,2026-03-06T09:07:01.649521843Z,01KK16CHW5DPZCZ9MQYWEPC8W0,2026-03-06T09:06:48.880345627Z,true,2026-03-06T09:07:01.654169895Z
01KK16T1JCQAVSWSRTSRF1X01C,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:14:10.89234214Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:14:10.89234214Z,,,01KK14YQA50QAFCAK6W01QR3B7,2026-03-06T09:14:10.89234214Z,,,01KK16R62P4R88EBKAHN7TDWM1,2026-03-06T09:14:10.89234214Z,,,01KK16T1GA7CJDBDM2RPDPMP6C,2026-03-06T09:14:10.89234214Z,true,2026-03-06T09:14:27.387191242Z
01KK16XXY8P3RYYEZEZMKX9A2N,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:16:18.248989336Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:16:18.248989336Z,{},2026-03-06T09:16:23.975286079Z,01KK14Z0RVMECWC1MW63EJGMSS,2026-03-06T09:16:18.248989336Z,1772788583898,2026-03-06T09:16:23.97072811Z,01KK16XXK4T3Z2ZJ0JBVS4Z11D,2026-03-06T09:16:18.248989336Z,1,2026-03-06T09:16:23.978684067Z,01KK16XXM7S8PDAC61N6ZYQ3FJ,2026-03-06T09:16:18.248989336Z,true,2026-03-06T09:16:23.980890211Z
01KK17K83SZNK6QTM6M27FC4ZR,,,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:27:56.793085454Z,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:27:56.793085454Z,"{""0"":0,""2"":0}",2026-03-06T09:28:19.227550137Z,01KK156FDQVJQ278PX88B67FJS,2026-03-06T09:27:56.793085454Z,1772789298206,2026-03-06T09:28:19.230772413Z,01KK17JWA29ENEP6QVB7NYGZT6,2026-03-06T09:27:56.793085454Z,2,2026-03-06T09:28:19.214564738Z,01KK17K81RKBY0W0W4MTKDD052,2026-03-06T09:27:56.793085454Z,true,2026-03-06T09:28:19.224003697Z
01KK17PGZH1G1K2RANF526PE3J,,,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:29:44.178039637Z,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:29:44.178039637Z,,,01KK156FDQVJQ278PX88B67FJS,2026-03-06T09:29:44.178039637Z,,,01KK17JWA29ENEP6QVB7NYGZT6,2026-03-06T09:29:44.178039637Z,,,01KK17PGXRFH2297969W7ZW92W,2026-03-06T09:29:44.178039637Z,,
01KK16KWH864C0SCZ9GVN1XSVS,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:10:49.128581427Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:10:49.128581427Z,"{""0"":0,""2"":0}",2026-03-06T09:11:10.720384713Z,01KK14Z0RVMECWC1MW63EJGMSS,2026-03-06T09:10:49.128581427Z,1772788270641,2026-03-06T09:11:10.715628683Z,01KK16KDXVD5EHP62DRTZ8HY4M,2026-03-06T09:10:49.128581427Z,2,2026-03-06T09:11:10.718196466Z,01KK16KWF6KNEXKXJKE3R9CK4A,2026-03-06T09:10:49.128581427Z,true,2026-03-06T09:11:10.716586275Z
01KK165YZGJF512Y28XD2ZNGQK,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:03:12.881015596Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:03:12.881015596Z,"{""0"":0,""1"":0}",2026-03-06T09:03:49.090892136Z,01KK152B7R4ZD53WXFFZ6BYJE1,2026-03-06T09:03:12.881015596Z,1772787828654,2026-03-06T09:03:49.086613244Z,01KK1640VW63B5R36VJSNE32VW,2026-03-06T09:03:12.881015596Z,2,2026-03-06T09:03:49.085231114Z,01KK165YY0X5A6F43QP28ZPCTA,2026-03-06T09:03:12.881015596Z,true,2026-03-06T09:03:49.090146486Z
01KK16HRC1S7EHAH1NBPMZSXHR,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:09:39.329846674Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:09:39.329846674Z,,,01KK152B7R4ZD53WXFFZ6BYJE1,2026-03-06T09:09:39.329846674Z,,,01KK16FJ2J2CMXZNNK2B4Z6QHC,2026-03-06T09:09:39.329846674Z,,,01KK16HRAHBB6CEXD80PMC18GN,2026-03-06T09:09:39.329846674Z,true,2026-03-06T09:09:43.471752888Z
01KK16VY07VQV57M8G3GN1BP88,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:15:12.775728076Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:15:12.775728076Z,"{""1"":0,""2"":0}",2026-03-06T09:15:31.169745062Z,01KK14YQA50QAFCAK6W01QR3B7,2026-03-06T09:15:12.775728076Z,1772788530592,2026-03-06T09:15:31.155943691Z,01KK16VJXQA01MCD21FT5WRE76,2026-03-06T09:15:12.775728076Z,2,2026-03-06T09:15:31.159168496Z,01KK16VXY2HK8PTKND3J0ZGB4P,2026-03-06T09:15:12.775728076Z,true,2026-03-06T09:15:31.17233373Z
01KK17BCD5ETJ58M7K9NC5SRTF,,,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:23:39.04505362Z,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:23:39.04505362Z,"{""0"":0,""1"":1}",2026-03-06T09:23:58.872622579Z,01KK15D81NJ35HBJ07N6ACFCPZ,2026-03-06T09:23:39.04505362Z,1772789037429,2026-03-06T09:23:58.842438308Z,01KK17B313DF06CWW2BWNN8JQH,2026-03-06T09:23:39.04505362Z,2,2026-03-06T09:23:58.837939302Z,01KK17BCBKWQ00JG3F5RYG09XV,2026-03-06T09:23:39.04505362Z,true,2026-03-06T09:23:58.869717988Z
01KK183530QJP9JVB485NJJ51F,true,2026-03-06T09:36:38.022431486Z,01KK14SSXNQ645HH7AJXYEQV6N,2026-03-06T09:36:37.984170699Z,01KK14SSY8E64SK69715NN1TMW,2026-03-06T09:36:37.984170699Z,,,01KK1541ATE0SZ921D4RW5PNQ6,2026-03-06T09:36:37.984170699Z,1772789798127,2026-03-06T09:36:38.130773355Z,01KK182V8M0SGQXCRZPG40XPXB,2026-03-06T09:36:37.984170699Z,0,2026-03-06T09:36:38.022431486Z,01KK183519TS9VNT5VTZF7WC66,2026-03-06T09:36:37.984170699Z,true,2026-03-06T09:36:38.022431486Z
01KK16828D4Q5PJK1VDZCEAAA8,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:04:21.773882094Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:04:21.773882094Z,{},2026-03-06T09:04:26.524747837Z,01KK14VZHF7ANFGF38NNJCNQ5J,2026-03-06T09:04:21.773882094Z,1772787865813,2026-03-06T09:04:26.525801114Z,01KK168211M3NJRPZVMH1E74TY,2026-03-06T09:04:21.773882094Z,2,2026-03-06T09:04:26.523670393Z,01KK16821TPXZF9V2XBVN83783,2026-03-06T09:04:21.773882094Z,true,2026-03-06T09:04:26.528865192Z
01KK16AGKDVYCV45K2SRJSSBMA,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:05:41.997095494Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:05:41.997095494Z,"{""1"":0,""2"":0}",2026-03-06T09:05:59.211620664Z,01KK14VZHF7ANFGF38NNJCNQ5J,2026-03-06T09:05:41.997095494Z,1772787958495,2026-03-06T09:05:59.210292767Z,01KK169M1NNDT7N9NMC20V24K4,2026-03-06T09:05:41.997095494Z,2,2026-03-06T09:05:59.204706817Z,01KK16AGHJXH3SD713WSAKPQKJ,2026-03-06T09:05:41.997095494Z,true,2026-03-06T09:05:59.212778461Z
01KK16GMMA0SC50ZG8XFARSAXQ,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:09:02.730710818Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:09:02.730710818Z,"{""1"":1,""2"":1}",2026-03-06T09:09:12.127955311Z,01KK14VZHF7ANFGF38NNJCNQ5J,2026-03-06T09:09:02.730710818Z,1772788151410,2026-03-06T09:09:12.124249962Z,01KK16FJ2J2CMXZNNK2B4Z6QHC,2026-03-06T09:09:02.730710818Z,0,2026-03-06T09:09:12.118682086Z,01KK16GMJ3V9FVYBXZP4N1JPMD,2026-03-06T09:09:02.730710818Z,true,2026-03-06T09:09:12.129055151Z
01KK16JBE2PFTTVYWE351EZDF8,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:09:58.85062905Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:09:58.85062905Z,"{""1"":2,""2"":2}",2026-03-06T09:10:15.693665712Z,01KK14VZHF7ANFGF38NNJCNQ5J,2026-03-06T09:09:58.85062905Z,1772788214979,2026-03-06T09:10:15.68867028Z,01KK16HX8P0SW37R418W4C8CGS,2026-03-06T09:09:58.85062905Z,0,2026-03-06T09:10:15.691248538Z,01KK16JBCRXTQ1F7ZW48VV7QF7,2026-03-06T09:09:58.85062905Z,true,2026-03-06T09:10:15.689866826Z
01KK16KE80X22XVMEV3D2D5B1V,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:10:34.496431551Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:10:34.496431551Z,{},2026-03-06T09:10:37.924197022Z,01KK14Z0RVMECWC1MW63EJGMSS,2026-03-06T09:10:34.496431551Z,1772788237843,2026-03-06T09:10:37.917171236Z,01KK16KDXVD5EHP62DRTZ8HY4M,2026-03-06T09:10:34.496431551Z,1,2026-03-06T09:10:37.919385674Z,01KK16KDZ7WERGN60ZG7XPWDGG,2026-03-06T09:10:34.496431551Z,true,2026-03-06T09:10:37.922440151Z
01KK17CP96TH1830NY8V6EXVFJ,,,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:24:21.926964491Z,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:24:21.926964491Z,"{""0"":0,""1"":0}",2026-03-06T09:24:42.907540278Z,01KK15D81NJ35HBJ07N6ACFCPZ,2026-03-06T09:24:21.926964491Z,1772789081510,2026-03-06T09:24:42.891987894Z,01KK17B313DF06CWW2BWNN8JQH,2026-03-06T09:24:21.926964491Z,2,2026-03-06T09:24:42.88806665Z,01KK17CP6XFCY3XW35SYENDMVR,2026-03-06T09:24:21.926964491Z,true,2026-03-06T09:24:42.909672019Z
01KK177731C3DZVK4TVS880AEA,true,2026-03-06T09:21:40.449754694Z,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:21:22.529554712Z,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:21:22.529554712Z,,,01KK156FDQVJQ278PX88B67FJS,2026-03-06T09:21:22.529554712Z,1772788900444,2026-03-06T09:21:40.449754694Z,01KK176V19TJ7SKV9075C25VP0,2026-03-06T09:21:22.529554712Z,1,2026-03-06T09:21:40.449754694Z,01KK177719QYSG9ZXZ5NRBCJWY,2026-03-06T09:21:22.529554712Z,true,2026-03-06T09:21:40.449754694Z
01KK18352TKDYRB6QGBEAYFAMA,,,01KK14SSXNQ645HH7AJXYEQV6N,2026-03-06T09:36:37.978431749Z,01KK14SSY8E64SK69715NN1TMW,2026-03-06T09:36:37.978431749Z,"{""0"":0,""2"":1}",2026-03-06T09:36:51.005373635Z,01KK1597T2BEG3G8VK34AEJWBX,2026-03-06T09:36:37.978431749Z,1772789810627,2026-03-06T09:36:51.015040611Z,01KK182V8M0SGQXCRZPG40XPXB,2026-03-06T09:36:37.978431749Z,2,2026-03-06T09:36:51.007756663Z,01KK183519TS9VNT5VTZF7WC66,2026-03-06T09:36:37.978431749Z,true,2026-03-06T09:36:51.018818938Z
01KK1648DFXRYY6D5SPM8R7JQH,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:02:17.007977506Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:02:17.007977506Z,"{""0"":1,""2"":0}",2026-03-06T09:02:27.703836951Z,01KK151EAZ3RYJENNDVWS0NTPD,2026-03-06T09:02:17.007977506Z,1772787747523,2026-03-06T09:02:27.702081986Z,01KK1640VW63B5R36VJSNE32VW,2026-03-06T09:02:17.007977506Z,2,2026-03-06T09:02:27.705725345Z,01KK1648C6JE8EQ05VE7Z6FYGZ,2026-03-06T09:02:17.007977506Z,true,2026-03-06T09:02:27.704820853Z
01KK168EAXHYA750XRW0KZY2Y0,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:04:34.141733406Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:04:34.141733406Z,"{""0"":0,""1"":0}",2026-03-06T09:04:52.21201717Z,01KK152B7R4ZD53WXFFZ6BYJE1,2026-03-06T09:04:34.141733406Z,1772787891955,2026-03-06T09:04:52.210216174Z,01KK168211M3NJRPZVMH1E74TY,2026-03-06T09:04:34.141733406Z,1,2026-03-06T09:04:52.205158508Z,01KK168E96RV87BR1YDW0CD241,2026-03-06T09:04:34.141733406Z,true,2026-03-06T09:04:52.216082178Z
01KK169ENK122BCD6S5339G3GP,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:05:07.251244505Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:05:07.251244505Z,,,01KK152B7R4ZD53WXFFZ6BYJE1,2026-03-06T09:05:07.251244505Z,,,01KK168211M3NJRPZVMH1E74TY,2026-03-06T09:05:07.251244505Z,,,01KK169EJX6ENGJ9DEH1JJS3PJ,2026-03-06T09:05:07.251244505Z,true,2026-03-06T09:05:12.292815398Z
01KK16J1BSEAS85SBHAHBXSSVA,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:09:48.537056837Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:09:48.537056837Z,"{""1"":1,""2"":2}",2026-03-06T09:10:06.461957391Z,01KK14YQA50QAFCAK6W01QR3B7,2026-03-06T09:09:48.537056837Z,1772788205898,2026-03-06T09:10:06.449643168Z,01KK16HDD9CZJ4MMV6EEDJVCXJ,2026-03-06T09:09:48.537056837Z,0,2026-03-06T09:10:06.45125398Z,01KK16J1A9Y0HCPX2YKY9F76NT,2026-03-06T09:09:48.537056837Z,true,2026-03-06T09:10:06.464790041Z
01KK170SED06FBF2Y24C15TMAZ,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:17:51.949541719Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:17:51.949541719Z,,,01KK14YQA50QAFCAK6W01QR3B7,2026-03-06T09:17:51.949541719Z,,,01KK16XXK4T3Z2ZJ0JBVS4Z11D,2026-03-06T09:17:51.949541719Z,,,01KK170SC8K74NSECGJ010SAF6,2026-03-06T09:17:51.949541719Z,true,2026-03-06T09:18:01.083031717Z
01KK170SEKWZ44M80AB4B3AY6T,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:17:51.955202104Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:17:51.955202104Z,,,01KK14Z0RVMECWC1MW63EJGMSS,2026-03-06T09:17:51.955202104Z,,,01KK16XXK4T3Z2ZJ0JBVS4Z11D,2026-03-06T09:17:51.955202104Z,,,01KK170SC8K74NSECGJ010SAF6,2026-03-06T09:17:51.955202104Z,true,2026-03-06T09:17:55.421242447Z
01KK18AAQRSBFQS5JGPGRYZSSW,true,2026-03-06T09:40:33.170598124Z,01KK14SSXNQ645HH7AJXYEQV6N,2026-03-06T09:40:33.144797773Z,01KK14SSY8E64SK69715NN1TMW,2026-03-06T09:40:33.144797773Z,,,01KK15V3W97WBJW05NQ6ZQT7MZ,2026-03-06T09:40:33.144797773Z,1772790033247,2026-03-06T09:40:33.250145846Z,01KK189H5CAY574PYHYMV8VTNE,2026-03-06T09:40:33.144797773Z,0,2026-03-06T09:40:33.170598124Z,01KK18AAP222YVAHXD0V23KD0Q,2026-03-06T09:40:33.144797773Z,true,2026-03-06T09:40:33.170598124Z
01KK16CBTDFEKQ8QRSV6X9TXQ8,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:06:42.637777649Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:06:42.637777649Z,{},2026-03-06T09:06:49.323620603Z,01KK151EAZ3RYJENNDVWS0NTPD,2026-03-06T09:06:42.637777649Z,1772788009151,2026-03-06T09:06:49.325579517Z,01KK16CBGWWQ9FZSTD7BYJG7CG,2026-03-06T09:06:42.637777649Z,1,2026-03-06T09:06:49.32663265Z,01KK16CBHWQMQ6G7TWXHE7JHVC,2026-03-06T09:06:42.637777649Z,true,2026-03-06T09:06:49.327390691Z
01KK16MKQKBM24MZKF6C2EAC20,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:11:12.883185808Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:11:12.883185808Z,,,01KK14VZHF7ANFGF38NNJCNQ5J,2026-03-06T09:11:12.883185808Z,,,01KK16HX8P0SW37R418W4C8CGS,2026-03-06T09:11:12.883185808Z,,,01KK16MKNEWVPX93NHRRZ5BEM4,2026-03-06T09:11:12.883185808Z,true,2026-03-06T09:11:18.379179203Z
01KK1786ZGA7K5QKHYFYC8TVJX,,,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:21:55.185021603Z,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:21:55.185021603Z,"{""1"":2,""2"":1}",2026-03-06T09:22:28.508227294Z,01KK154JWJFWXC0WVJEYB8KK83,2026-03-06T09:21:55.185021603Z,1772788947508,2026-03-06T09:22:28.502616737Z,01KK176V19TJ7SKV9075C25VP0,2026-03-06T09:21:55.185021603Z,2,2026-03-06T09:22:28.504944951Z,01KK1786X3WWRFWVZMGH562YYE,2026-03-06T09:21:55.185021603Z,true,2026-03-06T09:22:28.50961477Z
01KK16PVA9XZVECCFK46ZP66C3,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:12:26.185083973Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:12:26.185083973Z,"{""0"":2,""2"":2}",2026-03-06T09:12:43.397765217Z,01KK14Z0RVMECWC1MW63EJGMSS,2026-03-06T09:12:26.185083973Z,1772788363316,2026-03-06T09:12:43.393162172Z,01KK16NSECF3CGGVPZDXENECVQ,2026-03-06T09:12:26.185083973Z,0,2026-03-06T09:12:43.390064375Z,01KK16PV8RK2FVEC0RA9HWJJRY,2026-03-06T09:12:26.185083973Z,true,2026-03-06T09:12:43.396213072Z
01KK161NXYFMH79HWXEQY9WEXZ,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:00:52.542898079Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:00:52.542898079Z,"{""0"":0,""1"":0}",2026-03-06T09:01:23.360089956Z,01KK152B7R4ZD53WXFFZ6BYJE1,2026-03-06T09:00:52.542898079Z,1772787682922,2026-03-06T09:01:23.360839838Z,01KK15ZACCMVS9G9GWWF4PMQW6,2026-03-06T09:00:52.542898079Z,1,2026-03-06T09:01:23.355504201Z,01KK161NW1BT66KHK2SBZMRRQB,2026-03-06T09:00:52.542898079Z,true,2026-03-06T09:01:23.363522417Z
01KK16HXHXD05ARV8ZYRZ75VJG,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:09:44.6375191Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:09:44.6375191Z,{},2026-03-06T09:09:49.200574421Z,01KK14VZHF7ANFGF38NNJCNQ5J,2026-03-06T09:09:44.6375191Z,1772788188481,2026-03-06T09:09:49.194998695Z,01KK16HX8P0SW37R418W4C8CGS,2026-03-06T09:09:44.6375191Z,2,2026-03-06T09:09:49.189243063Z,01KK16HX9P2YY9XXTDR67FHFQH,2026-03-06T09:09:44.6375191Z,true,2026-03-06T09:09:49.197019085Z
01KK16PKH768B9PM7N38DYVEXH,,,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:12:18.215800215Z,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:12:18.215800215Z,"{""0"":0,""2"":0}",2026-03-06T09:13:12.789373094Z,01KK156FDQVJQ278PX88B67FJS,2026-03-06T09:12:18.215800215Z,1772788391699,2026-03-06T09:13:12.78725151Z,01KK16FZD1TXP2Q3TSAS2S2PJG,2026-03-06T09:12:18.215800215Z,0,2026-03-06T09:13:12.78461083Z,01KK16PKEH8DXTJC2CX0Z40AC7,2026-03-06T09:12:18.215800215Z,true,2026-03-06T09:13:13.686096473Z
01KK16SZ302KFPYB6QJ06AFWXR,,,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:14:08.35305067Z,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:14:08.35305067Z,"{""0"":0,""2"":0}",2026-03-06T09:14:29.954834383Z,01KK156FDQVJQ278PX88B67FJS,2026-03-06T09:14:08.35305067Z,1772788468814,2026-03-06T09:14:29.952766446Z,01KK16S0DEE1KZJ24YR40AY0G8,2026-03-06T09:14:08.35305067Z,0,2026-03-06T09:14:29.960453609Z,01KK16SZ1H0BP0BG19VQFWM06F,2026-03-06T09:14:08.35305067Z,true,2026-03-06T09:14:29.961486692Z
01KK16T1JA7BB5YW783Z5YNVFP,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:14:10.890357826Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:14:10.890357826Z,,,01KK14Z0RVMECWC1MW63EJGMSS,2026-03-06T09:14:10.890357826Z,,,01KK16R62P4R88EBKAHN7TDWM1,2026-03-06T09:14:10.890357826Z,,,01KK16T1GA7CJDBDM2RPDPMP6C,2026-03-06T09:14:10.890357826Z,true,2026-03-06T09:14:17.444803615Z
01KK17B3AS2BN5YRS15T664TWJ,,,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:23:29.753837198Z,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:23:29.753837198Z,{},2026-03-06T09:23:35.317682441Z,01KK154JWJFWXC0WVJEYB8KK83,2026-03-06T09:23:29.753837198Z,1772789014795,2026-03-06T09:23:35.278137822Z,01KK17B313DF06CWW2BWNN8JQH,2026-03-06T09:23:29.753837198Z,0,2026-03-06T09:23:35.268219663Z,01KK17B3217C1RSFNCCP7ZSR6P,2026-03-06T09:23:29.753837198Z,true,2026-03-06T09:23:35.325831376Z
01KK16RYFW60CNK1AE1RTTDMK6,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:13:34.97254386Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:13:34.97254386Z,"{""0"":0,""1"":1}",2026-03-06T09:13:45.847605475Z,01KK156D2KMM2MHNDEQKNRSXGT,2026-03-06T09:13:34.97254386Z,1772788425552,2026-03-06T09:13:45.842975265Z,01KK16R62P4R88EBKAHN7TDWM1,2026-03-06T09:13:34.97254386Z,2,2026-03-06T09:13:45.845072462Z,01KK16RYDRBJC4TR5N32STX7NW,2026-03-06T09:13:34.97254386Z,true,2026-03-06T09:13:45.840149053Z
01KK189HNZYRPKNA8M5MRK86MH,true,2026-03-06T09:40:07.511783392Z,01KK14SSXNQ645HH7AJXYEQV6N,2026-03-06T09:40:07.487473097Z,01KK14SSY8E64SK69715NN1TMW,2026-03-06T09:40:07.487473097Z,,,01KK15V3W97WBJW05NQ6ZQT7MZ,2026-03-06T09:40:07.487473097Z,1772790007508,2026-03-06T09:40:07.511783392Z,01KK189H5CAY574PYHYMV8VTNE,2026-03-06T09:40:07.487473097Z,0,2026-03-06T09:40:07.511783392Z,01KK189H69P55V2KXQ5SR369CK,2026-03-06T09:40:07.487473097Z,true,2026-03-06T09:40:07.511783392Z
01KK163CTMMCXSTPC79P3HSYPH,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:01:48.756986425Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:01:48.756986425Z,,,01KK151EAZ3RYJENNDVWS0NTPD,2026-03-06T09:01:48.756986425Z,,,01KK15ZACCMVS9G9GWWF4PMQW6,2026-03-06T09:01:48.756986425Z,,,01KK163CSC2758MYKXBMN35G6Z,2026-03-06T09:01:48.756986425Z,true,2026-03-06T09:01:56.719835046Z
01KK163CTQNSGD8GQ5C8B60GFA,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:01:48.75994555Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:01:48.75994555Z,,,01KK152B7R4ZD53WXFFZ6BYJE1,2026-03-06T09:01:48.75994555Z,,,01KK15ZACCMVS9G9GWWF4PMQW6,2026-03-06T09:01:48.75994555Z,,,01KK163CSC2758MYKXBMN35G6Z,2026-03-06T09:01:48.75994555Z,true,2026-03-06T09:02:09.245727103Z
01KK16JVZYA8FHKYNQQ3TRVX0K,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:10:15.806914698Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:10:15.806914698Z,"{""0"":2,""2"":1}",2026-03-06T09:10:33.404856959Z,01KK151EAZ3RYJENNDVWS0NTPD,2026-03-06T09:10:15.806914698Z,1772788233230,2026-03-06T09:10:33.402604818Z,01KK16HX8P0SW37R418W4C8CGS,2026-03-06T09:10:15.806914698Z,1,2026-03-06T09:10:33.406459284Z,01KK16JVYBP2RXS3MKE25ZT4Z5,2026-03-06T09:10:15.806914698Z,true,2026-03-06T09:10:33.401055945Z
01KK16X1TYX5N940Z694YM8475,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:15:49.470476077Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:15:49.470476077Z,"{""1"":1,""2"":0}",2026-03-06T09:16:05.060158985Z,01KK14YQA50QAFCAK6W01QR3B7,2026-03-06T09:15:49.470476077Z,1772788564491,2026-03-06T09:16:05.072214912Z,01KK16VJXQA01MCD21FT5WRE76,2026-03-06T09:15:49.470476077Z,2,2026-03-06T09:16:05.069153241Z,01KK16X1S46H4H8JA7N8VSENKW,2026-03-06T09:15:49.470476077Z,true,2026-03-06T09:16:05.063241684Z
01KK17RJ9MG13XD3Q7NZSCPDHS,,,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:30:51.060403485Z,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:30:51.060403485Z,"{""0"":0,""1"":2}",2026-03-06T09:31:28.97545126Z,01KK15D81NJ35HBJ07N6ACFCPZ,2026-03-06T09:30:51.060403485Z,1772789487038,2026-03-06T09:31:28.960261173Z,01KK17PT3QW6EARXJZD6Y1ENYT,2026-03-06T09:30:51.060403485Z,0,2026-03-06T09:31:28.939434711Z,01KK17RJ7Z335NGSQRD64GP62Y,2026-03-06T09:30:51.060403485Z,true,2026-03-06T09:31:28.99439899Z
