id,acknowledgedEarlyFinish,acknowledgedEarlyFinishLastChangedAt,batchID,batchIDLastChangedAt,enemyHealth,enemyHealthLastChangedAt,gameID,gameIDLastChangedAt,outcome,outcomeLastChangedAt,playerID,playerIDLastChangedAt,playerId,playerIdLastChangedAt,playerRoundConfig,playerRoundConfigLastChangedAt,pointsEarned,pointsEarnedLastChangedAt,roundEndMessage,roundEndMessageLastChangedAt,roundID,roundIDLastChangedAt,stage1Turns,stage1TurnsLastChangedAt,stage2Turns,stage2TurnsLastChangedAt,stage3Turns,stage3TurnsLastChangedAt,stage4Turns,stage4TurnsLastChangedAt,stage5Turns,stage5TurnsLastChangedAt,stats,statsLastChangedAt,teamHealth,teamHealthLastChangedAt,turnsTaken,turnsTakenLastChangedAt,virtualBots,virtualBotsLastChangedAt
01KK16R69M17J60S8BFHDVVR2S,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:13:10.196409743Z,,,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:13:10.196409743Z,,,01KK14Z0RVMECWC1MW63EJGMSS,2026-03-06T09:13:10.196409743Z,null,2026-03-06T09:15:01.760104783Z,,,,,,,01KK16R62P4R88EBKAHN7TDWM1,2026-03-06T09:13:10.196409743Z,,,,,,,,,,,null,2026-03-06T09:15:01.760104783Z,,,,,[],2026-03-06T09:13:10.225025644Z
01KK17F8QKTBERNNDE98CM9A6N,,,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:25:46.3553868Z,,,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:25:46.3553868Z,,,01KK15D81NJ35HBJ07N6ACFCPZ,2026-03-06T09:25:46.3553868Z,null,2026-03-06T09:27:44.879262312Z,,,,,,,01KK17F8G1NYHA1KG0AH51R81S,2026-03-06T09:25:46.3553868Z,,,,,,,,,,,null,2026-03-06T09:27:44.879262312Z,,,,,[],2026-03-06T09:25:46.392074514Z
01KK17PTA2J9GHKD6N1CWBADBR,,,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:29:53.730043826Z,,,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:29:53.730043826Z,,,01KK15D81NJ35HBJ07N6ACFCPZ,2026-03-06T09:29:53.730043826Z,null,2026-03-06T09:32:21.948992298Z,,,,,,,01KK17PT3QW6EARXJZD6Y1ENYT,2026-03-06T09:29:53.730043826Z,,,,,,,,,,,null,2026-03-06T09:32:21.948992298Z,,,,,[],2026-03-06T09:29:53.754000521Z
01KK18785QVMENJN9XJKEHXE1D,,,01KK14SSXNQ645HH7AJXYEQV6N,2026-03-06T09:38:52.215733006Z,,,01KK14SSY8E64SK69715NN1TMW,2026-03-06T09:38:52.215733006Z,,,01KK1597T2BEG3G8VK34AEJWBX,2026-03-06T09:38:52.215733006Z,null,2026-03-06T09:39:26.981143967Z,,,,,,,01KK1877X9ZPD0N84EWZAHB1YZ,2026-03-06T09:38:52.215733006Z,,,,,,,,,,,null,2026-03-06T09:39:26.981143967Z,,,,,[],2026-03-06T09:38:52.259156961Z
01KK18AHB7R38B2QSAYHCDS9KJ,,,01KK14SSXNQ645HH7AJXYEQV6N,2026-03-06T09:40:39.911421902Z,,,01KK14SSY8E64SK69715NN1TMW,2026-03-06T09:40:39.911421902Z,,,01KK1541ATE0SZ921D4RW5PNQ6,2026-03-06T09:40:39.911421902Z,null,2026-03-06T09:41:22.168471598Z,,,,,,,01KK18AH4922JFJNXYD0XH8Z18,2026-03-06T09:40:39.911421902Z,,,,,,,,,,,null,2026-03-06T09:41:22.168471598Z,,,,,[],2026-03-06T09:40:39.945194178Z
01KK16KE4KJBGPYAMM1ZSZE54P,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:10:34.387245413Z,,,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:10:34.387245413Z,,,01KK14Z0RVMECWC1MW63EJGMSS,2026-03-06T09:10:34.387245413Z,null,2026-03-06T09:11:51.643610896Z,,,,,,,01KK16KDXVD5EHP62DRTZ8HY4M,2026-03-06T09:10:34.387245413Z,,,,,,,,,,,null,2026-03-06T09:11:51.643610896Z,,,,,[],2026-03-06T09:10:34.413369906Z
01KK16R69DXYNCH85A320ZS8M7,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:13:10.189275944Z,,,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:13:10.189275944Z,,,01KK14YQA50QAFCAK6W01QR3B7,2026-03-06T09:13:10.189275944Z,null,2026-03-06T09:15:01.760104783Z,,,,,,,01KK16R62P4R88EBKAHN7TDWM1,2026-03-06T09:13:10.189275944Z,,,,,,,,,,,null,2026-03-06T09:15:01.760104783Z,,,,,[],2026-03-06T09:13:10.225025644Z
01KK182VFG2JPJ8NWZ0WXEVKQT,,,01KK14SSXNQ645HH7AJXYEQV6N,2026-03-06T09:36:28.144600162Z,,,01KK14SSY8E64SK69715NN1TMW,2026-03-06T09:36:28.144600162Z,,,01KK15V3W97WBJW05NQ6ZQT7MZ,2026-03-06T09:36:28.144600162Z,null,2026-03-06T09:37:30.708042233Z,,,,,,,01KK182V8M0SGQXCRZPG40XPXB,2026-03-06T09:36:28.144600162Z,,,,,,,,,,,null,2026-03-06T09:37:30.708042233Z,,,,,[],2026-03-06T09:36:28.170261224Z
01KK189HJADKG4X4K35B5E9FQV,true,2026-03-06T09:40:36.659146955Z,01KK14SSXNQ645HH7AJXYEQV6N,2026-03-06T09:40:07.370936902Z,5,2026-03-06T09:40:33.058163972Z,01KK14SSY8E64SK69715NN1TMW,2026-03-06T09:40:07.370936902Z,LOSE,2026-03-06T09:40:33.058163972Z,01KK1597T2BEG3G8VK34AEJWBX,2026-03-06T09:40:07.370936902Z,null,2026-03-06T09:40:39.852785571Z,"{""id"":5,""envId"":""4838"",""maxEnemyHealth"":10,""maxTeamHealth"":10,""bossDamage"":7,""statProfile"":""imbalanced-oneunique-def"",""statProfileId"":""141_222_222"",""optimalRoles"":[1,0,0],""deviateRoles"":[0,2,1],""optimalDeviateRolesId"":""TFF_FMT"",""humanRole"":0,""playerDeviateProbability"":0,""enemyAttackProbability"":0.75,""enemyIntentSequence"":""1110110111"",""botPlayers"":[{""strategy"":{""type"":""fixed"",""role"":2}},{""strategy"":{""type"":""fixed"",""role"":1}}]}",2026-03-06T09:40:07.405328536Z,0,2026-03-06T09:40:33.058163972Z,Defeat! Your team was defeated.,2026-03-06T09:40:33.058163972Z,01KK189H5CAY574PYHYMV8VTNE,2026-03-06T09:40:07.370936902Z,"[{""turnNumber"":1,""actions"":[""ATTACK"",""ATTACK"",""BLOCK""],""roles"":[""MEDIC"",""FIGHTER"",""TANK""],""enemyIntent"":""WILL_ATTACK"",""previousEnemyHealth"":10,""previousTeamHealth"":10,""damageToEnemy"":3,""damageToTeam"":5,""damageBlocked"":2,""healAmount"":0,""newEnemyHealth"":7,""newTeamHealth"":5},{""turnNumber"":2,""actions"":[""HEAL"",""ATTACK"",""BLOCK""],""roles"":[""MEDIC"",""FIGHTER"",""TANK""],""enemyIntent"":""WILL_ATTACK"",""previousEnemyHealth"":7,""previousTeamHealth"":5,""damageToEnemy"":1,""damageToTeam"":5,""damageBlocked"":2,""healAmount"":2,""newEnemyHealth"":6,""newTeamHealth"":2}]",2026-03-06T09:40:13.025650883Z,"[{""turnNumber"":1,""actions"":[""HEAL"",""ATTACK"",""BLOCK""],""roles"":[""MEDIC"",""FIGHTER"",""TANK""],""enemyIntent"":""WILL_ATTACK"",""previousEnemyHealth"":6,""previousTeamHealth"":2,""damageToEnemy"":1,""damageToTeam"":5,""damageBlocked"":2,""healAmount"":2,""newEnemyHealth"":5,""newTeamHealth"":0}]",2026-03-06T09:40:33.058163972Z,,,,,,,null,2026-03-06T09:40:39.852785571Z,0,2026-03-06T09:40:33.058163972Z,3,2026-03-06T09:40:33.058163972Z,"[{""playerId"":0,""botIndex"":0,""strategy"":{""type"":""fixed"",""role"":2},""stats"":{""STR"":2,""DEF"":2,""SUP"":2},""currentRole"":2},{""playerId"":2,""botIndex"":1,""strategy"":{""type"":""fixed"",""role"":1},""stats"":{""STR"":2,""DEF"":2,""SUP"":2},""currentRole"":1}]",2026-03-06T09:40:07.511783392Z
01KK16HDK4CSC6GZAWNZKGH6G9,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:09:28.292119554Z,,,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:09:28.292119554Z,,,01KK156D2KMM2MHNDEQKNRSXGT,2026-03-06T09:09:28.292119554Z,null,2026-03-06T09:10:34.332252909Z,,,,,,,01KK16HDD9CZJ4MMV6EEDJVCXJ,2026-03-06T09:09:28.292119554Z,,,,,,,,,,,null,2026-03-06T09:10:34.332252909Z,,,,,[],2026-03-06T09:09:28.312228986Z
