ENV_PARAMS,round_id=01KG1XWFVP3J6PD61HZ16BAZ6H,max_team_hp=10,max_enemy_hp=15,enemy_attack_prob=1.00,enemy_damage=5,outcome=LOSE
turn_number,stage_number,player0_role,player1_role,player2_role,player0_action,player1_action,player2_action,prev_team_health,new_team_health,prev_enemy_health,new_enemy_health,enemy_intent,team_damage_taken,enemy_damage_taken
1,1,FIGHTER,TANK,TANK,ATTACK,BLOCK,BLOCK,10,7,15,13,WILL_ATTACK,3,2
2,1,FIGHTER,TANK,TANK,ATTACK,BLOCK,BLOCK,7,4,13,11,WILL_ATTACK,3,2
3,2,MEDIC,TANK,MEDIC,HEAL,BLOCK,HEAL,4,5,11,11,WILL_ATTACK,0,0
4,2,MEDIC,TANK,MEDIC,HEAL,BLOCK,HEAL,5,6,11,11,WILL_ATTACK,0,0
5,3,FIGHTER,MEDIC,MEDIC,ATTACK,HEAL,HEAL,6,5,11,9,WILL_ATTACK,1,2
6,3,FIGHTER,MEDIC,MEDIC,ATTACK,HEAL,HEAL,5,4,9,7,WILL_ATTACK,1,2
7,4,FIGHTER,FIGHTER,MEDIC,ATTACK,ATTACK,HEAL,4,1,7,3,WILL_ATTACK,3,4
8,4,FIGHTER,FIGHTER,MEDIC,ATTACK,ATTACK,HEAL,1,0,3,0,WILL_ATTACK,1,3
