ENV_PARAMS,round_id=01KG1YZFSV4B3BK4BT27W39GA7,max_team_hp=10,max_enemy_hp=15,enemy_attack_prob=1.00,enemy_damage=5,outcome=LOSE
turn_number,stage_number,player0_role,player1_role,player2_role,player0_action,player1_action,player2_action,prev_team_health,new_team_health,prev_enemy_health,new_enemy_health,enemy_intent,team_damage_taken,enemy_damage_taken
1,1,FIGHTER,FIGHTER,MEDIC,ATTACK,ATTACK,ATTACK,10,5,15,9,WILL_ATTACK,5,6
2,1,FIGHTER,FIGHTER,MEDIC,ATTACK,ATTACK,HEAL,5,2,9,5,WILL_ATTACK,3,4
3,2,FIGHTER,FIGHTER,MEDIC,ATTACK,ATTACK,HEAL,2,0,5,1,WILL_ATTACK,2,4
