ENV_PARAMS,round_id=01KG20R6G39CZZC0S104JZS6AC,max_team_hp=15,max_enemy_hp=25,enemy_attack_prob=0.70,enemy_damage=5,outcome=WIN
turn_number,stage_number,player0_role,player1_role,player2_role,player0_action,player1_action,player2_action,prev_team_health,new_team_health,prev_enemy_health,new_enemy_health,enemy_intent,team_damage_taken,enemy_damage_taken
1,1,FIGHTER,TANK,FIGHTER,ATTACK,BLOCK,ATTACK,15,12,25,22,WILL_ATTACK,3,3
2,1,FIGHTER,TANK,FIGHTER,ATTACK,ATTACK,ATTACK,12,12,22,17,WILL_NOT_ATTACK,0,5
3,2,FIGHTER,TANK,FIGHTER,ATTACK,BLOCK,ATTACK,12,9,17,14,WILL_ATTACK,3,3
4,2,FIGHTER,TANK,FIGHTER,ATTACK,BLOCK,ATTACK,9,6,14,11,WILL_ATTACK,3,3
5,3,FIGHTER,MEDIC,MEDIC,ATTACK,HEAL,HEAL,6,5,11,10,WILL_ATTACK,1,1
6,3,FIGHTER,MEDIC,MEDIC,ATTACK,HEAL,HEAL,5,4,10,9,WILL_ATTACK,1,1
7,4,FIGHTER,TANK,MEDIC,ATTACK,BLOCK,HEAL,4,3,9,8,WILL_ATTACK,1,1
8,4,FIGHTER,TANK,MEDIC,ATTACK,BLOCK,HEAL,3,2,8,7,WILL_ATTACK,1,1
9,5,FIGHTER,TANK,FIGHTER,ATTACK,ATTACK,ATTACK,2,2,7,2,WILL_NOT_ATTACK,0,5
10,5,FIGHTER,TANK,FIGHTER,ATTACK,ATTACK,ATTACK,2,2,2,0,WILL_NOT_ATTACK,0,2
