ENV_PARAMS,round_id=01KG1XMN7Q2QHWQ6GXDKZ3KD5J,max_team_hp=15,max_enemy_hp=25,enemy_attack_prob=0.70,enemy_damage=5,outcome=TIMEOUT
turn_number,stage_number,player0_role,player1_role,player2_role,player0_action,player1_action,player2_action,prev_team_health,new_team_health,prev_enemy_health,new_enemy_health,enemy_intent,team_damage_taken,enemy_damage_taken
1,1,MEDIC,MEDIC,TANK,ATTACK,ATTACK,BLOCK,15,12,25,22,WILL_ATTACK,3,3
2,1,MEDIC,MEDIC,TANK,HEAL,HEAL,ATTACK,12,15,22,20,WILL_NOT_ATTACK,0,2
3,2,MEDIC,TANK,TANK,ATTACK,BLOCK,BLOCK,15,12,20,19,WILL_ATTACK,3,1
4,2,MEDIC,TANK,TANK,HEAL,BLOCK,BLOCK,12,13,19,19,WILL_ATTACK,0,0
5,3,MEDIC,TANK,TANK,HEAL,BLOCK,BLOCK,13,14,19,19,WILL_ATTACK,0,0
6,3,MEDIC,TANK,TANK,HEAL,BLOCK,BLOCK,14,15,19,19,WILL_ATTACK,0,0
7,4,FIGHTER,TANK,FIGHTER,ATTACK,BLOCK,ATTACK,15,12,19,16,WILL_ATTACK,3,3
8,4,FIGHTER,TANK,FIGHTER,ATTACK,BLOCK,ATTACK,12,9,16,13,WILL_ATTACK,3,3
9,5,MEDIC,TANK,MEDIC,HEAL,ATTACK,HEAL,9,15,13,11,WILL_NOT_ATTACK,0,2
10,5,MEDIC,TANK,MEDIC,ATTACK,ATTACK,ATTACK,15,15,11,6,WILL_NOT_ATTACK,0,5
