ENV_PARAMS,round_id=01KG1YG07HW4RC5VF0KCHQ02PT,max_team_hp=15,max_enemy_hp=25,enemy_attack_prob=0.70,enemy_damage=5,outcome=WIN
turn_number,stage_number,player0_role,player1_role,player2_role,player0_action,player1_action,player2_action,prev_team_health,new_team_health,prev_enemy_health,new_enemy_health,enemy_intent,team_damage_taken,enemy_damage_taken
1,1,MEDIC,FIGHTER,MEDIC,ATTACK,ATTACK,ATTACK,15,10,25,20,WILL_ATTACK,5,5
2,1,MEDIC,FIGHTER,MEDIC,HEAL,ATTACK,HEAL,10,15,20,18,WILL_NOT_ATTACK,0,2
3,2,MEDIC,FIGHTER,MEDIC,ATTACK,ATTACK,ATTACK,15,10,18,13,WILL_ATTACK,5,5
4,2,MEDIC,FIGHTER,MEDIC,HEAL,ATTACK,HEAL,10,11,13,11,WILL_ATTACK,0,2
5,3,MEDIC,FIGHTER,MEDIC,HEAL,ATTACK,HEAL,11,12,11,9,WILL_ATTACK,0,2
6,3,MEDIC,FIGHTER,MEDIC,HEAL,ATTACK,HEAL,12,13,9,7,WILL_ATTACK,0,2
7,4,MEDIC,FIGHTER,MEDIC,HEAL,ATTACK,HEAL,13,14,7,5,WILL_ATTACK,0,2
8,4,MEDIC,FIGHTER,MEDIC,HEAL,ATTACK,HEAL,14,15,5,3,WILL_ATTACK,0,2
9,5,MEDIC,FIGHTER,MEDIC,ATTACK,ATTACK,ATTACK,15,15,3,0,WILL_NOT_ATTACK,0,3
