export,stage,n_inferences,accuracy
04-23,2,98,0.7244897959183674
04-23,3,98,0.5
04-23,4,74,0.7027027027027027
04-23,5,48,0.6666666666666666
04-27a,2,102,0.6470588235294118
04-27a,3,102,0.4117647058823529
04-27a,4,82,0.524390243902439
04-27a,5,64,0.5
04-27b,2,92,0.5
04-27b,3,90,0.4666666666666667
04-27b,4,58,0.6724137931034483
04-27b,5,40,0.75
05-11a,2,112,0.6160714285714286
05-11a,3,112,0.4375
05-11a,4,92,0.6521739130434783
05-11a,5,86,0.5
05-11b,2,104,0.5961538461538461
05-11b,3,94,0.6063829787234043
05-11b,4,46,0.6304347826086957
05-11b,5,42,0.6904761904761905
All,2,508,0.6181102362204725
All,3,496,0.48185483870967744
All,4,352,0.6335227272727273
All,5,280,0.5928571428571429
