export,stage,n_role_choices,stat_optimal_rate,n_switch_opportunities,switch_rate
04-23,1,96,0.5416666666666666,0,0.0
04-23,2,93,0.5913978494623656,93,0.3010752688172043
04-23,3,84,0.4880952380952381,84,0.2976190476190476
04-23,4,39,0.6153846153846154,39,0.3076923076923077
04-27a,1,105,0.5142857142857142,0,0.0
04-27a,2,105,0.5142857142857142,105,0.4380952380952381
04-27a,3,96,0.5625,96,0.3645833333333333
04-27a,4,63,0.47619047619047616,63,0.4126984126984127
04-27a,5,23,0.43478260869565216,23,0.43478260869565216
04-27b,1,93,0.43010752688172044,0,0.0
04-27b,2,93,0.4946236559139785,93,0.3870967741935484
04-27b,3,78,0.6025641025641025,78,0.24358974358974358
04-27b,4,51,0.49019607843137253,51,0.3333333333333333
04-27b,5,15,0.4,15,0.4
05-11a,1,141,0.5177304964539007,0,0.0
05-11a,2,141,0.5177304964539007,141,0.3971631205673759
05-11a,3,137,0.46715328467153283,137,0.3284671532846715
05-11a,4,89,0.5393258426966292,89,0.3707865168539326
05-11a,5,12,0.3333333333333333,12,0.75
05-11b,1,126,0.48412698412698413,0,0.0
05-11b,2,126,0.49206349206349204,126,0.47619047619047616
05-11b,3,126,0.4365079365079365,126,0.4365079365079365
05-11b,4,64,0.453125,64,0.390625
05-11b,5,21,0.47619047619047616,21,0.38095238095238093
All,1,561,0.49910873440285203,0,0.0
All,2,558,0.5197132616487455,558,0.4050179211469534
All,3,521,0.5009596928982726,521,0.3435700575815739
All,4,306,0.5098039215686274,306,0.369281045751634
All,5,71,0.4225352112676056,71,0.4647887323943662
