ENV_PARAMS,round_id=01KG1ZDN8MHA5AGWQBES0KB5PJ,max_team_hp=15,max_enemy_hp=10,enemy_attack_prob=0.80,enemy_damage=10,outcome=LOSE
turn_number,stage_number,player0_role,player1_role,player2_role,player0_action,player1_action,player2_action,prev_team_health,new_team_health,prev_enemy_health,new_enemy_health,enemy_intent,team_damage_taken,enemy_damage_taken
1,1,TANK,TANK,MEDIC,BLOCK,BLOCK,ATTACK,15,7,10,8,WILL_ATTACK,8,2
2,1,TANK,TANK,MEDIC,BLOCK,BLOCK,HEAL,7,1,8,8,WILL_ATTACK,6,0
3,2,MEDIC,TANK,MEDIC,HEAL,BLOCK,HEAL,1,0,8,8,WILL_ATTACK,1,0
