ENV_PARAMS,round_id=01KG1Y2P1ZPWGA9QZQ5J0A10M8,max_team_hp=15,max_enemy_hp=10,enemy_attack_prob=0.80,enemy_damage=10,outcome=LOSE
turn_number,stage_number,player0_role,player1_role,player2_role,player0_action,player1_action,player2_action,prev_team_health,new_team_health,prev_enemy_health,new_enemy_health,enemy_intent,team_damage_taken,enemy_damage_taken
1,1,FIGHTER,FIGHTER,MEDIC,ATTACK,ATTACK,ATTACK,15,5,10,2,WILL_ATTACK,10,8
2,1,FIGHTER,FIGHTER,MEDIC,ATTACK,ATTACK,HEAL,5,0,2,0,WILL_ATTACK,5,2
