export,stage,n_role_choices,stat_optimal_rate,n_switch_opportunities,switch_rate
04-23,1,96,0.5416666666666666,0,0.0
04-23,2,93,0.5913978494623656,93,0.3010752688172043
04-23,3,84,0.4880952380952381,84,0.2976190476190476
04-23,4,39,0.6153846153846154,39,0.3076923076923077
04-27a,1,105,0.5142857142857142,0,0.0
04-27a,2,105,0.5142857142857142,105,0.4380952380952381
04-27a,3,96,0.5625,96,0.3645833333333333
04-27a,4,63,0.47619047619047616,63,0.4126984126984127
04-27a,5,23,0.43478260869565216,23,0.43478260869565216
04-27b,1,93,0.43010752688172044,0,0.0
04-27b,2,93,0.4946236559139785,93,0.3870967741935484
04-27b,3,78,0.6025641025641025,78,0.24358974358974358
04-27b,4,51,0.49019607843137253,51,0.3333333333333333
04-27b,5,15,0.4,15,0.4
All,1,294,0.4965986394557823,0,0.0
All,2,291,0.5326460481099656,291,0.37800687285223367
All,3,258,0.5503875968992248,258,0.3062015503875969
All,4,153,0.5163398692810458,153,0.35947712418300654
All,5,38,0.42105263157894735,38,0.42105263157894735
